faculte	universite	ville	pays	web	theologie	geo	langue
Faculté de Théologie et de Sciences des Religions	Unil	Lausanne	Suisse	www.unil-ch/ftsr	Réformée moderne	46.523431,6.584693	Français
Theologische Fakultät	Unibasel	Bâle	Suisse	http://theolrel.unibas.ch/		47.558152,7.585392	Allemand
Theologische Fakultät	Universität Bern	Berne	Suisse	http://www.theol.unibe.ch/content/index_ger.html		46.954627,7.429892	Allemand
Faculté de théologie	Université de Fribourg	Fribourg	Suisse	http://www.unifr.ch/theo/fr	Catholique	46.806186,7.151694	Allemand/Français
Faculté autonome de théologie protestante	Université de Genève	Genève	Suisse	http://www.unige.ch/theologie/index.html	Réformée moderne	46.19926,6.144171	Français
Theologische Fakultät	Universität Luzern 	Lucerne	Suisse	http://www.unilu.ch/deu/theologische_fakultaet_2990.html		47.049788,8.312315	Allemand
Theologische Fakultät	UZH	Zurich	Suisse	http://www.theologie.uzh.ch/index.html		47.370012,8.544514	Allemand
Faculté Jean-Calvin		Aix-en-Provence 	France 	http://www.facultejeancalvin.fr/	Réformée orthodoxe	43.517121,5.451171	Français
Faculté Universitaire de Théologie Protestante		Bruxelles 	Belgique 	http://www.protestafac.ac.be/	protestante	50.835507,4.404432	Français
Faculté libre de théologie protestante de Paris	Institut protestant de théologie	Montpellier 	France 	http://www.iptheologie.fr/	protestante	43.598907,3.874702	Français
Faculté libre de théologie protestante de Montpellier	Institut protestant de théologie	Paris 	France 	http://www.iptheologie.fr/	protestante	48.8343,2.337329	Français
Faculté de Théologie Protestante	Université de Strasbourg	Strasbourg 	France 	http://theopro.unistra.fr/	protestante	48.584983,7.76173	Français
Faculté Libre de Théologie Évangélique		Vaux-sur-Seine 	France 	http://www.flte.fr/	Protestante Évangélique	49.008755,1.936715	Français
Faculté de Théologie Protestante et des Sciences Religieuses	Université protestante d'Afrique Centrale	Yaoundé 	Cameroun 	http://www.upac-edu.org/	protestante	3.86357,11.518364	Français
Theologische Fakultät	Humboldt Universitäẗ zu Berlin	Berlin 	Allemagne 	http://www2.hu-berlin.de/theologie/	protestante	52.521196,13.400999	Allemand
Theologische Fakultät	Universität Heidelberg	Heidelberg 	Allemagne 	http://www.theologie.uni-heidelberg.de/	protestante	49.413046,8.714452	Allemand
Faculté de théologie et de sciences religieuses	Université Laval	Laval 	Canada 	http://www.ftsr.ulaval.ca/	Catholique	46.780329,-71.276906	Français
Faculté de théologie	Université Catholique de Louvain	Louvain 	Belgique 	http://www.uclouvain.be/teco.html	Catholique	50.669426,4.612154	Français
Faculté de Théologie et de Sciences des Religions	Université de Montréal	Montréal 	Canada 	http://www.ftsr.umontreal.ca/index.html	Catholique	45.507009,-73.614389	Français
Institut catholique de Paris		Paris 	France 	http://www.icp.fr/	Catholique	48.847845,2.329611	Français
Faculté de théologie et d'études religieuses	Université de Sherbrooke	Sherbrooke 	Canada 	http://www.usherbrooke.ca/fater/	Catholique	45.378648,-71.928871	Français
 Evang.-theol. Fakultät	Eberhard Karls Universität Tübingen	Tübingen 	Allemagne 	http://www.ev-theologie.uni-tuebingen.de/	protestante	48.525068,9.055384	Allemand
Kirchliche Hochschule		Wuppertal 	Allemagne 	http://www.kiho-wb.de/	protestante	51.265688,7.170188	Allemand
Faculté de Théologie Catholique	Université de Strasbourg	Strasbourg 	France 	http://www.theocatho-strasbourg.fr/	Catholique	48.585224,7.762086	Français
Evangelische Theologie	Universität Osnabrück	Osnabrück	Allemagne 	http://www.ev-theologie.uni-osnabrueck.de/	protestante	52.283679,8.025335	Allemand
